3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
u4x06 pull au042u u;6w.7wu6yp3ak7 empty mp4x94w962u ?	一蘭 pull 麵的湯頭是怎麼 empty 運來台的?
fm42k6eji6xm3u.6u.3gp6ak71u4 buy 2u6a83?	去德國旅遊有甚麼必 buy 的嗎?
j06y94g3m/4ru.4 good	完再使用就 good
bp45p sj3xu42u fu/ su061u4u.3ru03u.3g48+9e04z0 cp3 normal 84	認真努力的青年被有錢有勢8+9幹翻很 normal 啊
284ru8 rm,62k6u.4ru0  good wu/ a87？	大家覺得右肩 good 聽嗎？
284ru8 2. ru3njo4 long tj 196w.7z842u ？	大家都幾歲 long 出白頭髮的？
gj; h/62ul3 long yp3u;4	雙層屌 long 怎樣
su/4ru3 large u.4ru0386	年紀 large 有錢啊
tool bp61; QQ	tool 人幫QQ
bj6ck6y942840 np xup6ej/ m06 low 5. wjo 28 tk 	如何在大安森林公園 low 調推塔車
ji3rup wu0 m/4YOYOd83 normal	我今天用YOYO卡 normal
nji3u3We are the worldg4a/4wu0 cjo4 good a86	所以We are the world是明天會 good 嗎
open e;4204vm ul4g6ak7rul4xu4a86?	open 鋼彈需要什麼學歷嗎?
g6ru0  fast 2l4xk7e03dj94183d.4286u/4j06	時間 fast 到了趕快把扣打應玩
ao3wu0 ru3ji3u j04u6nj04wu6 job	每天給我一萬也算是 job
y4fu3ru87xu3ru;3 good ru.4 good xk7，5p z.32j/3cp3941u45k4ek3e04a86	自己家裡講 good 就 good 了，真不懂很愛比這個幹嘛
183x03rul4nj/4eo3w8 ru.4 good xul3	把懶叫送給他就 good 了
ru/3t86 good dl32l41j4vu/6 good a84？	警察 good 考到不行 good 嗎？
u.4ao6u.3hji  ugly 2u j8 2k718 ej84？	有沒有最 ugly 的鞋的八卦？
ji3gj942ji xul3 good a86	我帥多了 good 嗎
gjo6w96e.4ful6cj04u04t;3m4 562l4ji3 blur xk7ful6rm4?	誰能夠招喚這場雨 直到我 blur 了焦距?
u6xu,4u6vm45; 2u6ru84 5p 2u6u.4z03u/4y94 pay g;3a86	一例一休漲的價 真的有反應在 pay 上嗎
d041;4fu.6 good rup35; 2k7g6c.4 yp3ai6104？	看棒球 good 緊張的時候 怎摸辦？
vu0  buy eji3wu, cjo6x942/384 sp4	先 buy 鍋貼回來等阿 嫩
pay d9 cp3gl31 	pay 開很少ㄅ
large d.3ck4vu 83 su3jo3u6w96vu rup45/ ao4wu u,42u4ru dji4	large 口呼吸啊 你惟一能吸進正妹體液的機會
u4ek3bp6104u,4y.3y94 old rup g0 zj6e. cjo4yp3vu;4	一個人半夜走在 old 金山市區會怎樣
rup g0 c96u.3zp  new 2u6ck4 old 2u6ji ?	金山還有分 new 的和 old 的喔?
c96 good long 284ru.42j z. j065k45j/3u.6vu xk7, z.3yk61o4ru83ru83gj; n3	還 good long 大就都不玩這種遊戲了, 否則被甲甲爽死
5j4j94284g3g41j6g4nj04cp3gj; 2u4 job ？	駐外大使是不是算很爽的 job ？
184j31i6j04 buy ej3qul4xu/3ej3xu4y94ru8 a83w.6bj4dj94zj4u.3a86	把五百萬 buy 股票領股利再加碼投入會富有嗎
j31/ t;6ao6u q9 2k7g6c.4yp3ak7z.  open ek454dj;4su6？	武平常沒戲拍的時候怎麼不 open 個實況呢？
1u04xu4g; 2u04ao6a94ji32u6 size = =ul fm4eji6j94 buy large tk3a832u6	便利商店沒賣我的 size = =要去國外 buy large 尺碼的
s93ek3vm06g4ru4rm yjo4 safe ？	哪個縣市騎車最 safe ？
1u32u04cjo4xul3vu;3nj/4vu.  w03 disk u yjo 1u04w94Aq04yp3104	筆電壞了想送修 但 disk 一堆變態A片怎辦
y4fu3 buy ek4 disk vu0 cj04x87 cp3ru03t06 j;3xj4u.3rul cj8684	自己 buy 個 disk 先換啦 很簡單 網路有教學啊
vm03s93 large 2u 1j45k6m/4vm045962u4?	選奶 large 的不適用選擇題?
ji3 good fu6su/4ao6vu,4eji nj045962u4xul4(wj/4dj )	我 good 幾年沒寫過選擇題了(痛哭)
ru03nj ru s04sji6ek3g; qup3yjo4 cold ap62u618 ej84？	鹹酥雞攤哪個商品最 cold 門的八卦？
good sji6eji7 ji31u41u/ 1u04xul3yp3ak7104	good 難過 我被兵變了怎麼辦
ru q93ao4vu/6g4w94tj/32j/4 ul6ul6 good w942ji xk7	雞排妹行事太衝動 瑤瑤 good 太多了
job cj04ru/4ao6jo35/ ao4g41j6g4cp3dj/31j4？	job 環境沒有正妹是不是很恐怖？
1j6ul4u.31u32j4ru.4 good 1j4b06xu0410 2j 1j4vu;3fm g;4	不要有肥宅就 good 不然連班都不想去上
n42941u4u,4ru4ej04vm06 open Toyotawu6gp6ak7c04rm,6	台大畢業結果還 open Toyota是什麼感覺
jp6yj3cj06y94vul3au06u;6，ru.45 2l4u6j0  pay jo32ji  low ...	文組還在小綿羊，就知道台灣 pay 有多 low ...
ru03rm3j;41u4wj/31035j4ej/ el4cjo4vu,4 small ru 19 a83	檢舉王被桶板主公告會寫 small 雞掰嗎
perfect 1u04au4vu,4z831i vu04?? 586ru wj/3	perfect 便秘解法發現?? 炸雞桶
cl3g; ck 1l ， buy cj04t;6ru4cl3vu;4qu3vul4vu/3	好傷荷包， buy 浣腸劑好像比較省
xu;4ek3y4ru.41j4u vu;4xul4 a96vu3xu, ej/ n0  small	兩個字就不一樣了 哩喜咧公三 small
5j42u dk3g4su3 2832u ji3 good cjp61j4g.3gk4	主的可是你 打的我 good 魂不守舍
ul41j4b06s84tj/6 large ej/ h6u,3z.3cjo4njo6qu065l3bp618 	要不然那種 large 公司也不會隨便找人吧
xu;3ek3 version ek h6u6gl jo3e/ e93 1u0 fm u,31j4wj/6 fm06g4ek4u.3ru/4ru,4	兩個 version 歌詞也稍有更改 編曲也不同 詮釋各有境界
ej4xu4zo g3？1j6ul4gji wji6 bad cj8484！	古力菲斯？不要說他 bad 話阿！
so4xu;3ek4 tool bp6nj04g4bp6g/ g/4xu45k3q8 	那兩個 tool 人算是人生勝利者吧
vu j;4ao6g4~~ high wul6	希望沒事~~ high 調
xj/6j3a;6ru.  control xul3tj06 rul4c93g0 2u4bp6183tj06d9 cjo6xu/3c9318 	龍五龍九 control 了船 叫海珊的人把船開回領海吧
ej03e04c06 1j4.3wji vu8454c.4dj94tl4vu.418  bl6eji41j4.3 good a84	幹幹幹 布偶脫下之後會超臭吧 饒過布偶 good 嗎
1j4dk3w96 w8  long 5k4ak7dk494 ru 5j su.6u8 u;6h96dji4yji4u045j/3y4	不可能 他 long 這麼可愛 雞豬牛鴨羊才會作這種事
9 eji6aup6w;32l4xul4，u6j0 c96ao6 good ，u04dk3g4sm3vu/4hj/ wj/32k7eji6ru84vu8 	哀國民黨倒了，台灣還沒 good ，這可是女性總統的國家呀
xu06ck6vul31u03ru;32u m06up ， long su06d0 ao6wu32u45 dji4vul4tj x94 good a84？	聯合小編講的原因， long 年看媒體的只會笑出來 good 嗎？
ji3wu6ru42k7yji4u4u6 new ru rm 2u6m b03cl3vu;4u,3g4 large 2l4u4ek4ru/4ru,4x8 	我是記得作一台 new 機車的汙染好像也是 large 到一個境界啦
ji3wu/ 2l42u6g/ up 2. g4"ej/ 、g84、 small "	我聽到的聲音都是"公、沙、 small "
o6n0  small k4e04 vu,4o39 vu,4o69 vu,4,6o4,3vu,4,3o4o6,49 ,3,3	欸三 small 啊幹 欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸
dk3u3 add el4fu,4mp4xu;4 u04g41j4s/6ru. el4vm/62u t03u,4	可以 add 高捷運量 但是不能救高雄的產業
good dk3942u6aul j;3	good 可愛的喵皇
dk4xup6、up4t86、wu0 rup z04n0  large pro gjo6yjo4fu;6	克林、飲茶、天津飯三 large pro 誰最強
buy 300dj942u6ru03nj ru 	buy 300塊的鹹酥雞
u.3ao6u.3u3ru03u,4g4 sell 2l41032k7186ej84？	有沒有以前夜市 sell 盜版的八卦？
cji6s06ao4cji4w94eji6ao4ck4n4ao4s84ek3 good	越南妹和泰國妹和台妹哪個 good
so4so4～bp6xo42jo4vm 2u bp3g.4t/62j42ji  high 84？	內內～人類對噓的忍受程度多 high 啊？
d04xul3u6vu84 good h03k  ep 1p 1o42;4g8 1l y94286QQ	看了一下 good 慘阿 根本被當沙包在打QQ
yl3ru.4ai6c04xul4，u04tj/6vup jp6y94w96j0  normal 2l41j4vu/6	早就無感了，這種新聞在台灣 normal 到不行
u06d93w94g4 open s845 fu,45o4ek4qup3q962k7rm g;410 a86?	嚴凱泰是 open 納智捷這個品牌的車上班嗎?
nj0 96su/42jo4u6j0 gk4zo 2042u62u6eji6e; e;  good -6n4	酸96年對台灣射飛彈的敵國剛剛 good 而已
5j4s061j4 good 5j41o31j4 good	住南部 good 住北部 good
wj/4vm,6su3vm06 good a83	同學你還 good 嗎
u.42u03sl3 good a84 5o4t/62j4y4j06y4gj; i7	有點腦 good 嗎 這程度自玩自爽喔
vu;3e0  small u/  hj/  small 2l4 large g35j/ bj6u 	想幹 small 櫻 從 small 到 large 始終如一
e04 fu;4n0  small	幹 嗆三 small
u04n0  small vu04y94104u,4 fast 450 su3ru3ji3d0 5o4ek3?	這三 small 現在半夜 fast 4點你給我看這個?
7112k7g6j4g41j6g4 fast qu4fm06ru8 z03wul4xul4?	711的食物是不是 fast 被全家反超了?
su3dk3u3 buy t86w; dj94294fm4u,3u04t gl4b.4	你可以 buy 茶湯會帶去野宴吃燒肉
1u0 m06bp6vs tool bp62j gee?	邊緣人vs tool 人都gee?
ji3nj04 tool bp6 cj86ru dj94u.4vu06u 1o 	我選 tool 人 找機會右肩一波
ep xji7xu4dj/ 2k7 close vu4wu6？	跟羅莉控的 close 係是？
a83u862u vu,6rul4ep jp6a/4vul u4jo3 close vu4a86？	馬雅的邪教跟文明消失有 close 係嗎？
u.3ao6u.4ej03cl3y4ru3ru.4 good jo6ck6ul4ej035/ t6	有沒有管好自己就 good 為何要管政治
2k6eji6ru.4wu6u04u;418 ，a94z;6bj6eji3h ru,7w94 high cjo4u.3vu/6594	德國就是這樣吧，賣房如果差價太 high 會有刑責
wu/ gji su3m, ql4u62u42l4ru8  long 5l3x96vm,6rul4xul4	聽說你約砲也約到家 long 找來學校了
ul ru03wj/6x8  jo4w8 rm0 wu  good	要減重啦 為他身體 good
ji3wj/6g453dj94m/4ai6c86au3 wji6gji cj8 xul41j4gl3ru03 buy g.4fm06	我同事只會用無蝦米 他說花了不少錢 buy 授權
wu0 fu4 good wu4ek3tj u.6	天氣 good 適合出遊
196bp6u86el jo6g6ak75o4ak7 cheap ？	白人牙膏為什麼這麼 cheap ？
large 8 ao3xu4ru8 vu04y942l42u3go6h96wu69.2??	large 阿美利加現在到底誰才是9.2??
z;65j/4gj3xu;6cji7 small fu6t841j72ji ，su3gji su ？	房仲數量和 small 七差不多，你說呢？
vup 5j6 small soufon?	新竹 small soufon?
PTTt/6z045 1ul ？vu;3aup6「dj/3」ai6z83 accept ！	PTT成反指標？鄉民「恐」無法 accept ！
vu;3aup6wu/3dk Pep g6xu4u.41j6g4 new jp4xul4	鄉民挺柯P跟時力又不是 new 聞了
zp4u.6njo61u04j06ru.4 good	糞游隨便玩就 good
agree ，j06fm06g4a.3bp61l4vu4tj g.3，u04w8 j;4ru4y4fu32941ul3eji6ru87	agree ，完全是某人爆氣出手，但她忘記自己代表國家
ej03 ao6bp6ul t/6n0  small	幹 沒人約嗆三 small
eji6w9 104gj;3gj;3xu/3vup gjo3ru.4 good xul3 ao6g4e0 a875l3y4yji4	國台辦爽爽領薪水就 good 了 沒事幹嘛找事做
bj6ej041j4a93q;6 sji4 pay yjo42u ul32ji gl3?	如果不買房 那 pay 最低要多少?
ul3dl3xm4wjo4vu. c.4ru4vm4rm j 2u6cj84 pay u,3g4ul41j4gl3y9 e.4q8 	要考慮退休後繼續租屋的話 pay 也是要不少才夠吧
183dji4vu;3fm yji42k7zj  normal sl3294bp6xo42j wl6w942ul4yjo4cl3	把會想去做的不 normal 腦袋人類都淘汰掉最好
fast 30njo4bji4yp3ak7104	fast 30歲惹怎麼辦
n4fu06m0 fmp6y7wu6 bad vul3c96a86？	以前穿裙子是 bad 小孩嗎？
y942ji 1i6xu;3ru8 qu/6ej4u6vu84 u.32k7u rup4fm4ru.4ul4su3186 good ru3ep 	再多跑兩家評估一下 有的一進去就要你拔 good 幾根
cp3ejo42u4ej/3fm06gjo32j g4gjo6y94 buy ?	很貴的礦泉水都是誰在 buy ?
su.6z0 fu,62u4tj/6y3vu;4al6vu d8 zo u u;42. g4 pull tj x962k7	牛番茄的種子像貓屎咖啡一樣都是 pull 出來的
u.3bp62ji3cji45jo nj4fu c.4vm04ul4y4ru3z04yjo41j4m/4 close a87？	有人躲過追溯期後炫耀自己犯罪不用 close 嗎？
z83m04eji6aup6t/4 open 2u487	法院國民黨 open 的啊
e93t/6b;4zp 54cl4xul4 high tj/6y3ul b;4 low 5j/4y72ji gl3zp 5o4u;4	改成讓分制好了 high 種子要讓 low 種子多少分這樣
ru.41u04t/6vu618  qu  player 2u041l4	就變成席巴 被 player 電爆
xu/6w;4al vm/ g4 small ，wj6jp61j4zj6	釘蕩貓凶殺 small ，圖文不符
eo3eo35k45;  good y04	給給這張 good 讚
5k4ek3g6c.4su3ap62ek45j/4ru032u4g.3hj/ c.4au04cjo6g;3x96q86w8  large 1u4rul45j4	這個時候你們2個中間的手從後面迴上來把他 large 臂絞住
ao6dl32l4n4284，g41j6g41j6ul42.4294vm,6qu6vul4 good ？	沒考到四大，是不是不要讀大學比較 good ？
su3a/4wu0 u yl3fu3939cjo4vu84284m3xk7x87 large 2l4su3tj 1j4xul3ap6	尼明天一早起乃9會下大雨了喇 large 到你出不了門
cj06 good x87 su35 2l4ru.4 good 1j6ul4gji tj x94u87 vu vu 	還 good 喇 你知道就 good 不要說出來呀 嘻嘻
1j6ul4u/6ru 541u4rul4 good q8 ？	不要贏其實比較 good 吧？
5/4y94ru03 vu0 cj84t03 good a87^^	正在煎 先劃單 good 嗎^^
eji wu, 2u04sl3q03：xu04ji32j 1u4su3cj062j/3，eji wu, 2. ru04 good 2/3xul3	鍋貼店腦闆：連我都比你還懂，鍋貼都煎 good 等了
5jp3g6vu8410 2u xl3g ru.41j6g4 good xl3g a84？	準時下班的老師就不是 good 老師嗎？
vu;4su3ap65o4vu;42u  bad sm3c96，Jojoji3ul4cl3cl42u rul4ui su3ap4♥	像你們這樣的 bad 女孩，Jojo我要好好的教育你們♥
g6ru4vu/45p 2u qu3rul4 important a83？	實際性真的比較 important 嗎？
ru/ t/6q8  fast fm 5jp31o4vm,6hk4	醒醒吧 fast 去準備學測
vm06 good n4j0 bp62u jp3ru/3wu6vm,3xu;62u , s932jo4zj fu n4ru/419 bji4	還 good 台灣人的眼睛是雪亮的, 那對夫妻已經掰惹
su3jo3yji45j4d0 dj0 a87 cj061j6g4ql3fm4 open xu/6g6	你有坐著看完嗎 還不是跑去 open 零食
d0  photo 5j3xu.6g4 rul4g/  1u3tk4 8+9 qo6s06u.3	看 photo 主流是 學生 肥宅 8+9 陪男友
fu/4jp4 open u ru0 aul4m32u y rup vm ul42ji gl3？ vu;3fu0 	請問 open 一間廟宇的資金需要多少？ 想開
zj4ru0 ao6e/3e9 zj e9 x87zj61u3j;6u3 large ru. m06	富奸沒梗該不該拉伏筆王尾 large 救援
c8 c8 ~ru;3zj eji4bp6ru.4d9 g3gji bp6ej/ 2.4g/ xul4~ long rup42ji4 good a84?	哈哈~講不過人就開始說人工讀生了~ long 進點 good 嗎?
old 103z065 xj4g41j6g4ru/42u03？	old 版楓之谷是不是經典？
ru/4wu03w03cp3j6xul6 n4ek4 small g6286wj/6u cji4ej941j6vu042o3g/ u 2/3	經典但很無聊 四個 small 時打同一隻怪不見得升一等
ejp3x8 ru4g/ au4fm ek61u4vu fu. a 	滾啦寄生迷去隔壁西區 good ㄇ
8 ru.4 open 2l bj6xji31j6vul3vup cj842l4t;6 su32u6vu qp42k72l4tj42. wu6	阿就 open 刀如果不小心劃到腸 你的屎噴的到處都是
yjo4cl3 sell 2u4vm su3u.6vu4cji41u4wu6so3dj03?	最好 sell 的虛擬遊戲貨幣是哪款?
n0 ek4 small g6yji4u41932l4h942u 18 ej84	三個 small 時做一百道菜的八卦
2l4xul6xu3xk7,c961j4m/4cj8 1 small g6	道料理了,還不用花1 small 時
ru g6g4 large xl3ru;3 good ek qu04z.32j/32u4 284ru8 2j u.4z04fu 	其實是 large 老講 good 可騙不懂的 大家都有飯吃
ao6jo4g6ak7 5 2l4y4fu3 ugly j;31/ 1u0 2ji3q8 	沒為什麼 知道自己 ugly 往旁邊躲吧
fu41u32j42u41o4ru3b.4fm yji4q96ej3qu062;7，ru.4cjo4 u.4c.4u.4 large dj94xk7	切肥宅的背脊肉去做排骨便當，就會 又厚又 large 塊了
1u3596gjo412 small g6h96t/6x94u.4ru8 zp6a86？	肥宅睡12 small 時才醒來有加分嗎？
74tj06ru8 u.4 good a86 c06t06vul4u/41j6g45k4vu;4j062u4	74團加油 good 嗎 寒蟬效應不是這樣玩地
cp32j/3qup3jo4d8 zo dj94fm4 buy vu/ 18 dk4？	很懂品味咖啡會去 buy 星巴克？
wu/ gji vu  large u456gji djo fu04 sell sji6c.4vm062l35j043000j04su6	聽說義 large 一直說虧欠 sell 掉後還倒賺3000萬呢
ru tk vu/4fu06au042k7ru tk ek 2. 1o4ru rm c/6wu,  full cp3wl3u03	機車行前面的機車格都被機車行占 full 很討厭
5k4id1j42k61j4 push	這id不得不 push
5j/ eji6w8 284 u,3x032k6tj ap6g7aup6 yji42/3z0 1; 5j ej/4ru.4 good	中國太大 也懶得出門殖民 坐等番邦朝貢就 good
wji6vu;318 xl3ao6fu eji  su3jp4w8 g/ m6qu04g41j6g4 good cp3fu 	他鄉巴佬沒吃過 你問他生魚片是不是 good 很吃
gj; B1j4m/4cj8 ru03 buy u,4qo4 2j/3?	雙B不用花錢 buy 業配 懂?
u.3ao6u.3xu;4t;6LOLs96283j3ek4 small g62u 18 ej84	有沒有兩場LOL能打五個 small 時的八卦
「jo4xul3 add up4fu4 ru.4vu. t32u6zp3t/6jo3su;6187」	「為了 add 陰氣 就羞恥的扮成偽娘吧」
rup wu0 ul4gji 2k7g4u6ek4 close j ru04g; s86t/ 2u6ej4y4	今天要說的是一個 close 於建商拿槍的故事
wu0 w;6 new 56u,483 jp44xwji65 2l4	天堂 new 職業啊 問4x他知道
so4ek4g6c.4vm06cj8 u yjo ru03 buy ej/ xm,4 vu04y94vu;3fu3x94tl 196t 	那個時候還花一堆錢 buy 攻略 現在想起來超白癡
u.4ao6jo3youtube2l42u3g. xk7 empty e04j;62ji gl3ru032u4ej84?	有沒有youtube到底收了 empty 幹王多少錢的卦?
c8 c8  c06 match vu04g6u.4cl3vul4	哈哈 幹 match 現實又好笑
m/4tj u.42u4zo6g.3286 small 2ul3g.3t/  5/35 2ul3ql y94u.4xu3su3rm,62k7su 	用出油的肥手打 small 屌手槍 整隻屌泡在油裡你覺得呢
204ru; 5p 2u6u.4s84ak7 good a87	淡江真的有那麼 good 嗎
yjo4rup4d0 2l4s8 ek35; x;61o 1l  good vu;3 buy	最近看到那個蟑螂背包 good 想 buy
c96 good ji35j4w961o3，u.41j6g45j4y94xji4c.4vu;3vu84	還 good 我住台北，又不是住在落後鄉下
w9 ao3 close vu4z832u45p vu;4?	台美 close 係法的真相?
j3ai4y.3cj/6g41j6g4w9 j0  in up xk4ru,42u u j94？	伍佰走紅是不是台灣 in 音樂界的意外？
xup6yj/ t/6 large 1u,6gj 5;4gji g6ak7ru.4g4g6ak7 su3e03yjo3	林宗成 large 秘書長說什麼就是什麼 你敢嘴
u. cjo4g6c.4a06 cheap 2k7，ul y4ru32ji qu3vul4	優惠時候蠻 cheap 的，要自己多比較
good aul3 1j6vu3cj0 	good 吵 不喜歡
yl32ji4vu3vu3gjo4 good a83	早點洗洗睡 good 嗎
a.3ek42941ul3n4j0 tj fm4qu3n94eji42u ...... tool bp6?	某個代表台灣出去比賽過的...... tool 人?
u.3bp6vu04y94vm06y94 buy c93yo6m42u6t06c;41p3a84??	有人現在還在 buy 海賊王的單行本嗎??
1u3tk4n3fu06yp3ak7vu,3u61p3 small gji cj04vu/3gk4cjo4	肥宅死前怎麼寫一本 small 說喚醒社會
good 2/3vu84fu gp6ak7	good 等下吃什麼
su3ap7cp3 bad u6，wji6ap7dk3s/6vu;3gji au/6wu0 jo3ao6u.3 breakfast fu 187？	你們很 bad 也，他們可能想說明天有沒有 breakfast 吃吧？
y4g6g4c.4x94a83u; ru.3au/6a/4ao6jo3rup4。 close wji6qu4y4。	事實是後來馬英九明明沒有禁。 close 他屁事。
d04eji  rm4fu/6 full 1o 9 2u6	看過 劇情 full 悲哀的
vm06 good wu/ eji7x 	還 good 聽過ㄌ！
w9 2u,6ru03qul4mp6,nj04hji gj;3 job a83?	台鐵剪票員,算最爽 job 嗎?
zo35. u62jo eji6ru84cji65j/4eji65/ 2862k7cji3bk4tl6wu0 xu,7，cp32ji  close vu4wu6hj/ 	非洲一堆國家和中國正打得火熱朝天咧，很多 close 係是從
vup fu/61j4cl3 dinner e9 fu gp6ak7？	心情不好 dinner 該吃什麼？
ru03zo6 good a86？	減肥 good 嗎？
c.4wu0 vu/42k72l42u42u0 vu06t62u  good a83?	後天性得到的癲癇治的 good 嗎?
sl3u06ru xm4 high ，yji4cl3g.3gj4vup xu35ji61o4	腦癌機率 high ，做好手術心理準備
hj/ /u.6/1u/3 sk6ek41j4zp4cl3t yjo4 important ?	蔥/油/餅 哪個部分好吃最 important ?
vm04vmp4cl4 good 2u6+1	選訊號 good 的+1
53u.3ji3rul42o3fu8454cj8 u/4-6wu6 good 5j3u a84?	只有我覺得客製化嬰兒是 good 主意嗎?
fu6542832u u/6，1o4t8 w.6ru.4 good	其實打的贏，拔插頭就 good
ji35k4vu;42k7qu4jp3w96 sell fu06a84？	我這樣的屁眼能 sell 錢嗎？
vul3ul sm31j6g4， small vul cji4h96nj04	小妖女不是， small 騷貨才算
ji3u04ek4su.6q96203z04s94 sell ru03a83？	我這個牛排丼飯能 sell 錢嗎？
ji3u04vu;42u6b.41;4dk3u3 sell fu06a84?	我這樣的肉棒可以 sell 錢嗎?
1u32j4ru.4nj04wu630CMcj06g4cp3vu.4ao6bp6 buy	肥宅就算是30CM還是很臭沒人 buy
ji32u4x03rm,6s/6 sell ru03a87	我的懶覺能 sell 錢嗎
2j3g6j04ep su3 buy ，vu0 g. cji4c.4zj4dj03，bj6ck6？	賭十萬跟你 buy ，先收貨後付款，如何？
ji35o4u;42u6zo6596s96 sell ru03a87？	我這樣的肥宅能 sell 錢嗎？
ji35o4w.6su.6dk3u3 sell ru03a87？	我這頭牛可以 sell 錢嗎？
ji3s/6 sell fu06a83？	我能 sell 錢嗎？
zo3t;6 good (n0 g/ )nk4	非常 good (三聲)色
s06bp6ul cj86gj942k7c96g4 ugly 2u6?	男人要找帥的還是 ugly 的?
yj/4d9 g35jo fu.62l4rul j;4vm ul42ji  long g6ru0 ?	從開始追求到交往需要多 long 時間?
54g; w8  low vu86w8 d9 vup u045. u,3dj94qu 00792u4 small zo ru 2831l4	智商太 low 給他開新彥州也會被0079的 small 飛機打爆
fu 2u6ep 1u32j4u4u;4 large 5 ru.4s94yji4284g4	吃的跟肥宅一樣 large 隻就能做大事
5j/4eji62k72. e/41j3t;61u3xu4u.42ji  high su ？	中國的都更補償比例有多 high 呢？
yjo4 long 2ji ru.3z.3vu3yl3u87？	最 long 多久不洗澡呀？
54m04u4gl6aj4ul4bj6ck6gji zj6ao6dl3 good 2u fu0 ？	志願役招募要如何說服沒考 good 的簽？
1o31j4gjo6ep su3w96t/6fu/ rul  bp4fu/4y4fu3cjo6s061j4 good a83 ck ck 	北部誰跟你台成清交 認清自己回南部 good 嗎 呵呵
u3c.4AIdji4z. dji4ul4 normal leave ？	以後AI會不會要 normal leave ？
ru fu4bp6jo32j6jo42u n dl3s/6xu4c.4，bp6xo45p 2k7c96u.3104z83 control a86	機器人有獨立的思考能力後，人類真的還有辦法 control 嗎
1u07m06bp686 d0 ej4 pull 2ji ep e94.3fu83j06ru.4cjo4vu;3h.4bk4sl4	邊緣人啊 看固 pull 多跟蓋歐卡玩就會想湊熱鬧
vup 5j6vu045;4ru.453u.3s84xu;3ek3bp6tj x96gj8 ~~su3rm,62k6w962ji  good a86?	新竹縣長就只有那兩個人出來選~~你覺得能多 good 嗎?
w.6vu;6hj4bp6187，yp3ak7ao6jo31o4nj/ 1;3 good ru.3	投降錯人吧，怎麼沒有被鬆綁 good 酒
su3yp3ak72. zj mp42j/484 good 2j4i7	你怎麼都不運動啊 good 宅喔
y04t/6m/4dk4rup4z;3wk4 add zo4jp6d.4283a86？	贊成用課金方式 add 廢文扣打嗎？
hot vu4fu.6g;4au04jo35/ ao48 ，su3ao6d042l4？	hot 氣球上面有正妹啊，你沒看到？
su3jo3ao6u.4vu;3eji7g4A2u 1ul 5jp31u4rm,6 high su/4djo3j4x06	你有沒有想過是A的標準比較 high 寧缺勿濫
sji6ej94 buy 2u bp65k4ak72ji 	難怪 buy 的人這麼多
d04ful3cj35;42942u6bp6vu04y942.  large cj86g/ xul4?	看巧虎長大的人現在都 large 學生了?
small g6c.4tl494ful3xu045 2u6 5j/ su06cjo6u4	small 時候超愛巧連智的 童年回憶
good ek 94 su31j6ul4d04bp6ru8 ek 94ru.4vu;3c06. 	good 可愛 你不要看人家可愛就想幹歐
t6t;4 small ru vul3ru g6 ji35p 2k7tl4e/3der	她唱 small 雞小雞時 我真的超硬der
su04vu 2u03rmp vul4vu41j45 2l4y94fu. n0  small 2u6	念西點軍校卻不知道在秋三 small 的
dji4fm su04mp6dk4284 high u/4 large 2u6el 5j/ g/ 2j cp3fu;6a86？	會去念雲科大 high 應 large 的高中生都很強嗎？
ji3cl3vu/4zp484ji3 good vu/4zp486	我好興奮啊我 good 興奮啊
5k4wu6el41u,6g4 photo j 	這是告別式 photo 喔
u.41j6g4u456vu84 tp4m4g4vul4 small g6s86n03tj fm4y.3y.3ru.4 good xk7	又不是一直下 趁雨勢較 small 時拿傘出去走走就 good 了
2l42u4，ej03w96j0 ej031j62l42u ，t w96j0 fu 1j62l42u 。 buy 2j/ vu ？jp4	到的，幹臺灣幹不到的，吃臺灣吃不到的。 buy 東西？免
2j gp6ak7g6294xul3zj dji4vu0 t86 good xji4vu04y9428 ?	都甚麼時代了不會先查 good 路線再搭?
close j xul6su/4cl6bl4u6j0 	close 於遼寧號繞台灣
u8 bj4so3xu3 buy 2u  au3zp3tl4k3s06fu 	鴨肉哪裡 buy 的 米粉超噁難吃
ep su3u vu;4 ugly	跟你一樣 ugly
dl u6t/  g/4bp6ai6g4ru.4 good gjo4xul3	尻一槍 聖人模式就 good 睡了
good vu;35 2l42l42u3z8 g/ xul3g6ak7g4	good 想知道到底發生了什麼事
b41p 2u61l404gj94cl3vu;41j62l4u4t/6?n4j0 up e9 1j4cjo4 high 2l4sk6xu3fm 	日本的報案率好像不到一成?台灣因該不會 high 到那裡去
qi6a8 cjo4fu 584ru 2;4 breakfast a86？	婆媽會吃炸雞當 breakfast 嗎？
g.35 z/45832l y3ru.4 good k4	手指縫插刀子就 good 啊
soso sm3np qj31u04yji h94h a86? o'_'o	large ㄋㄟㄋㄟ女森普遍作菜 good ㄘ嗎? o'_'o
m04u4tl3z04ru.4 good	願意炒飯就 good
up jo4vu nji3 small g6c.4ru84xu3cp3fm/6	因為西索 small 時後家裡很窮
wu0 aj3ao3ai4q;61u0  open u ru0 KFC w.6y45k3sl3y31j65 2l4y94vu;3g86	天母美墨旁邊 open 一間KFC 投資者腦子不知道在想啥
